LATITUDE,LONGITUDE,DATE,TIME,cluster,MESSAGE
37.4777,-122.223,10/30/12,22:15:41,cluster2,want help hurricane relief text Sandi donat
36.7783,-119.418,11/1/12,23:11:04,cluster1,pleas help spread good word help victim hurricane Sandi
22.535965,-46.639284,11/4/12,16:07:02,cluster1,convoy send hurricane Sandi relief
22.535965,-46.639284,11/5/12,17:04:19,cluster2, inspire everyone pleas donat hurricane Sandi convoy not  want
22.535965,-46.639284,11/4/12,18:41:56,cluster2,let help hurricane Sandi donat goe relief syria
46.2276,2.21375,11/5/12,16:52:22,cluster2,help hurricane Sandi victim text convoy donat pleas
34.0522,-118.243,11/5/12,16:49:40,cluster1,help hurricane Sandi text convoy spread world
22.535965,-46.639284,11/4/12,20:42:18,cluster2,help hurricane Sandi victim text convoy donat goe relief effort
34.0522,-118.243,10/30/12,21:02:03,cluster1,person discount code help hurricane relief effort
25.6675,-80.3589,11/5/12,22:17:12,cluster3,help donat american red cross hurricane Sandi relief effort text recross
42.3302,-83.0459,10/30/12,23:28:59,cluster1,already phone affect
40.7561,-73.987,11/5/12,17:58:35,cluster2,text donat hurricane relief fund visit
34.0522,-118.243,11/5/12,19:26:44,cluster1,send hurricane Sandi relief supply via amazon wish
22.535965,-46.639284,11/1/12,1:43:21,cluster1,use Ithun support hurricane Sandi relief
22.535965,-46.639284,11/1/12,1:56:15,cluster3,use Ithun support hurricane Sandi american red cross
55.3781,-3.43597,11/1/12,20:37:24,cluster3,donat american red cross via Ithun money rais goe arc help hurricane Sandi survivor
33.582,-111.9,10/30/12,21:36:11,cluster2,help hurricane Sandi relief donat jewish fever north america
22.535965,-46.639284,10/31/12,14:14:28,cluster3,help text red cross
22.535965,-46.639284,11/2/12,16:09:20,cluster2,help affect hurricane Sandi text recross donat bill cell phone
40.9396,-73.8957,11/2/12,23:28:12,cluster1,drop donat hurricane victim main promote booth see item need
40.7356,-74.1722,10/31/12,5:11:08,cluster2,donat via cellphone text word recross aid victim hurricane Sandi
22.535965,-46.639284,10/31/12,14:30:24,cluster2,also text word recross donat hurricane Sandi victim
40.7561,-73.987,11/3/12,2:06:11,cluster2, airline reward custom donat hurricane Sandi relief
22.535965,-46.639284,11/3/12,16:15:22,cluster2,help  affect
30.0176,31.2143,11/4/12,4:56:07,cluster1,pleas hurricane Sandi relief monmouth pleas hurr
22.535965,-46.639284,11/3/12,0:18:44,cluster2,wow not realize bad hurricane donat dollar help text recross
35.5915,-78.7931,11/5/12,18:53:33,cluster1,would like help effect hurricane cane
22.535965,-46.639284,11/1/12,14:56:04,cluster3,work red cross center stop donat hurricane Sandi
22.535965,-46.639284,10/31/12,16:08:44,cluster1,wonder help hurricane take look
22.535965,-46.639284,10/31/12,18:35:24,cluster1,wonder help hurricane 
22.535965,-46.639284,10/28/12,13:58:01,cluster1,wryer want top help people cope hold blood drive today
38.8921,-77.0241,10/31/12,14:46:51,cluster2,wish help affect hurricane text recross donat american dikast relief pleas
39.8999,-74.9893,11/1/12,12:11:41,cluster1,pleas  call volant talant city hurricane relief effort
22.535965,-46.639284,11/6/12,3:13:31,cluster1,send heartless text message help hurricane Sandi simple buy hurricane Sandi relief shirt
36.7783,-119.418,11/2/12,21:23:33,cluster1,shop benefit hurricane Sandi relief
22.535965,-46.639284,11/5/12,13:15:54,cluster1,class help victim hurricane etc franklin common center
30.3262,-81.6579,11/3/12,15:49:53,cluster3,everyone text red cross donat hurricane Sandi relief
35.0614,-106.191,11/4/12,0:10:15,cluster1,collect special offer tomorrow orchard group assist hurricane Sandi relief
41.5007,-74.0214,11/5/12,22:30:08,cluster1,reach help collect good victim hurricane Sandi know collect pleas share
40.0583,-74.4057,11/5/12,0:27:35,cluster2,want host family event benefit hurricane relief effort anyon will donat space exchange ton
40.7561,-73.987,11/5/12,17:27:31,cluster1,update blog use resource hurricane Sandi relief effort pleas comment
22.535965,-46.639284,11/5/12,23:50:53,cluster1,wedset product tri drive help ppl involve hurricane Sandi look
22.535965,-46.639284,11/3/12,0:43:46,cluster2,tri help help victim hurricane Sandi
40.4384,-80.0019,11/5/12,23:27:27,cluster2,take donat wednesday hurricane Sandi relief  coast
22.535965,-46.639284,10/31/12,22:15:46,cluster1,send posit thought family affect hurricane want help
37.0902,-95.7129,10/31/12,16:54:15,cluster3,donat week red cross help victim hurricane shop till sunday  
40.6752,-73.971,11/4/12,13:38:48,cluster1,need volant hurricane Sandi help  help anyon sign fulton street lobby
41.827,-71.4087,11/2/12,3:59:50,cluster1,rais money USOC champ weekend great job jen contra make happen
35.5175,-86.5804,11/3/12,17:54:59,cluster2,put fundraise diabeta kid hold hurricane Sandi crisis control help 
34.0907,-118.37,11/2/12,0:19:21,cluster1,encourage help hurricane relief effort info
41.4202,-87.343,11/1/12,19:00:05,cluster1,encourage everyone help affect aftermath hurricane Sandi friend unit way
39.2943,-76.6143,11/2/12,22:17:38,cluster1,encourage member follow consed donat hurricane Sandi relief mani
